	Respondent	MainBranch	Hobbyist	Age	Age1stCode	CompFreq	CompTotal	ConvertedComp	Country	CurrencyDesc	CurrencySymbol	DatabaseDesireNextYear	DatabaseWorkedWith	DevType	EdLevel	Employment	Ethnicity	Gender	JobFactors	JobSat	JobSeek	LanguageDesireNextYear	LanguageWorkedWith	MiscTechDesireNextYear	MiscTechWorkedWith	NEWCollabToolsDesireNextYear	NEWCollabToolsWorkedWith	NEWDevOps	NEWDevOpsImpt	NEWEdImpt	NEWJobHunt	NEWJobHuntResearch	NEWLearn	NEWOffTopic	NEWOnboardGood	NEWOtherComms	NEWOvertime	NEWPurchaseResearch	NEWPurpleLink	NEWSOSites	NEWStuck	OpSys	OrgSize	PlatformDesireNextYear	PlatformWorkedWith	PurchaseWhat	Sexuality	SOAccount	SOComm	SOPartFreq	SOVisitFreq	SurveyEase	SurveyLength	Trans	UndergradMajor	WebframeDesireNextYear	WebframeWorkedWith	WelcomeChange	WorkWeekHrs	YearsCode	YearsCodePro
5783	5807	I am a developer by profession	Yes	24.0	18	Monthly			Nepal	Nepalese rupee	NPR	Microsoft SQL Server;MongoDB;MySQL	Microsoft SQL Server;MongoDB;MySQL	Developer, back-end;Developer, desktop or enterprise applications	Bachelor’s degree (B.A., B.S., B.Eng., etc.)	Employed full-time	South Asian	Man	Industry that I’d be working in;Languages, frameworks, and other technologies I’d be working with;Remote work options	Neither satisfied nor dissatisfied	I’m not actively looking, but I am open to new opportunities	C#;HTML/CSS;JavaScript;Python;SQL	C#;HTML/CSS;JavaScript;SQL	.NET Core	.NET;.NET Core	Github;Slack	Github;Slack	No	Extremely important	Fairly important	Curious about other opportunities;Better compensation;Better work/life balance;Growth or leadership opportunities;Looking to relocate	Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind)	Every few months		Yes	No	Rarely: 1-2 days per year or less		Hello, old friend	Stack Exchange (public Q&A for a variety of topics)	Call a coworker or friend;Visit Stack Overflow;Do other work and come back later	Windows	20 to 99 employees	Arduino;Docker;Kubernetes;Linux;Microsoft Azure;Raspberry Pi		I have little or no influence	Straight / Heterosexual					Easy	Appropriate in length	No	Computer science, computer engineering, or software engineering	Angular;ASP.NET;ASP.NET Core	Angular;ASP.NET;ASP.NET Core;jQuery		9.0	5.0	2
5796	5820	I am a developer by profession	Yes	23.0	18	Monthly			Nepal	Nepalese rupee	NPR	Elasticsearch;Redis	Microsoft SQL Server	Developer, full-stack	Bachelor’s degree (B.A., B.S., B.Eng., etc.)	Employed full-time	Southeast Asian	Man	Remote work options;Financial performance or funding status of the company or organization;Office environment or company culture	Neither satisfied nor dissatisfied	I am not interested in new job opportunities	Kotlin;TypeScript	C#;HTML/CSS;Java;JavaScript;SQL;TypeScript	React Native	.NET	Microsoft Teams	Confluence	No	Extremely important	Very important	Curious about other opportunities;Looking to relocate	Publicly available financial information (e.g. Crunchbase);Read other media like news articles, founder profiles, etc. about the company	Every few months	Yes	No	No	Never		Hello, old friend	Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics)	Call a coworker or friend;Visit Stack Overflow	Windows	20 to 99 employees	Arduino;AWS;Docker	Microsoft Azure;Windows	I have little or no influence	Straight / Heterosexual	Yes	Neutral	Less than once per month or monthly	Multiple times per day	Easy	Appropriate in length	No	Computer science, computer engineering, or software engineering	React.js;Symfony	Angular;ASP.NET;Express	Just as welcome now as I felt last year	45.0	6.0	2
5969	5993	I am a developer by profession	Yes	24.0	20	Monthly	70000.0	7356.0	Nepal	Nepalese rupee	NPR	Cassandra;DynamoDB;Elasticsearch;MongoDB;MySQL;PostgreSQL;SQLite	Elasticsearch;MongoDB;MySQL;Redis	Developer, back-end;Developer, full-stack;Developer, QA or test	Bachelor’s degree (B.A., B.S., B.Eng., etc.)	Employed full-time	South Asian	Man	Flex time or a flexible schedule;Office environment or company culture;Opportunities for professional development	Very satisfied	I am actively looking for a job	Go;JavaScript;PHP;Python;Rust;TypeScript	Go;JavaScript;PHP					Yes	Extremely important	Not at all important/not necessary	Curious about other opportunities;Better compensation;Better work/life balance;Wanting to work with new technologies;Growth or leadership opportunities;Looking to relocate	Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family	Every few months	Not sure	No	Yes	Often: 1-2 days per week or more		Hello, old friend	Stack Overflow (public Q&A for anyone who codes);Stack Overflow Jobs (for job seekers)	Play games;Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos;Do other work and come back later;Visit another developer community (please name):	Linux-based	10 to 19 employees	Docker;Google Cloud Platform;Kubernetes;Linux	Docker;Google Cloud Platform;Kubernetes;Linux	I have little or no influence		Yes	Yes, somewhat	A few times per month or weekly	Multiple times per day	Difficult	Too long	No	A business discipline (such as accounting, finance, marketing, etc.)	Django;Gatsby;Laravel;React.js;Symfony	Laravel;React.js	Just as welcome now as I felt last year	45.0	5.0	5
5991	6015	I code primarily as a hobby	Yes	18.0	18				Nepal				MySQL;PostgreSQL;SQLite	Data or business analyst;Developer, back-end	Some college/university study without earning a degree	Employed full-time	Middle Eastern	Man					Bash/Shell/PowerShell;C;C++;HTML/CSS;Java;JavaScript;PHP;Python;SQL	Unity 3D	Torch/PyTorch	Github;Gitlab;Facebook Workplace;Stack Overflow for Teams	Github;Gitlab			Very important			Every few months	Yes		Yes		Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow	Hello, old friend	Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers)	Visit Stack Overflow;Watch help / tutorial videos;Do other work and come back later	Linux-based		Android;Arduino;Google Cloud Platform;Raspberry Pi	Arduino;Linux		Straight / Heterosexual	Yes	Yes, definitely	Daily or almost daily	Multiple times per day	Neither easy nor difficult	Appropriate in length	No	Computer science, computer engineering, or software engineering	Django;React.js	Django;jQuery	Just as welcome now as I felt last year		5.0	
6065	6090	I am a developer by profession	No	25.0	15				Nepal	Nepalese rupee	NPR	Elasticsearch;Microsoft SQL Server;PostgreSQL	Microsoft SQL Server	Developer, back-end;Developer, front-end	Bachelor’s degree (B.A., B.S., B.Eng., etc.)	Employed full-time	South Asian	Man	Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with;Office environment or company culture	Neither satisfied nor dissatisfied	I’m not actively looking, but I am open to new opportunities	Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;SQL;TypeScript	C#;HTML/CSS;JavaScript;SQL;TypeScript	.NET;.NET Core;Node.js	.NET;.NET Core		Slack;Microsoft Azure	Not sure	Somewhat important	Fairly important	Just because;Having a bad day (or week or month) at work;Better compensation;Trouble with my direct manager;Better work/life balance;Wanting to work with new technologies;Growth or leadership opportunities	Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family	Once a year	Not sure	Yes	No	Occasionally: 1-2 days per quarter but less than monthly		Hello, old friend	Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers)	Call a coworker or friend;Visit Stack Overflow;Do other work and come back later	Windows	20 to 99 employees	AWS;Linux;Windows	Windows	I have little or no influence	Straight / Heterosexual	Yes	Yes, somewhat	Less than once per month or monthly	Multiple times per day	Easy	Appropriate in length	No	Computer science, computer engineering, or software engineering	ASP.NET Core;React.js	ASP.NET;ASP.NET Core;jQuery;React.js	Just as welcome now as I felt last year	45.0	7.0	3
6162	6187	I am a developer by profession	Yes		19				Nepal	Nepalese rupee	NPR		Firebase;MySQL;SQLite	Developer, mobile	Bachelor’s degree (B.A., B.S., B.Eng., etc.)	Employed full-time		Man	Office environment or company culture;Family friendliness	Very satisfied	I am not interested in new job opportunities	Go;Swift	C;C#;C++;Dart;HTML/CSS;Java;JavaScript;Kotlin	Flutter	.NET;Flutter;React Native;Xamarin	Gitlab;Slack;Trello;Stack Overflow for Teams	Gitlab;Slack;Trello	Yes	Extremely important	Fairly important				Not sure	Yes	Yes	Often: 1-2 days per week or more	Start a free trial;Visit developer communities like Stack Overflow	Hello, old friend	Stack Overflow (public Q&A for anyone who codes)	Call a coworker or friend;Visit Stack Overflow;Watch help / tutorial videos;Do other work and come back later	Windows	2 to 9 employees		Android;WordPress	I have some influence		Yes	Yes, definitely	Multiple times per day	Multiple times per day	Neither easy nor difficult	Too long	No	Computer science, computer engineering, or software engineering			A lot more welcome now than last year	40.0	5.0	
6230	6255	I am a developer by profession	Yes	33.0	18	Monthly	800000.0	84048.0	Nepal	Nepalese rupee	NPR	MariaDB;MongoDB;MySQL;PostgreSQL;Redis;SQLite	Firebase;MariaDB;MongoDB;MySQL;PostgreSQL;Redis;SQLite	Data or business analyst;Database administrator;Developer, back-end;Developer, full-stack;DevOps specialist;System administrator	Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)	Independent contractor, freelancer, or self-employed	South Asian	Man	Languages, frameworks, and other technologies I’d be working with;Remote work options;Opportunities for professional development	Slightly satisfied	I am actively looking for a job	Bash/Shell/PowerShell;HTML/CSS;JavaScript;PHP;Python;Rust;SQL;TypeScript	Bash/Shell/PowerShell;C++;HTML/CSS;Java;JavaScript;PHP;SQL;TypeScript	Node.js;TensorFlow	Cordova;Node.js	Github;Gitlab;Slack;Trello;Google Suite (Docs, Meet, etc);Stack Overflow for Teams	Jira;Github;Gitlab;Facebook Workplace;Slack;Trello;Google Suite (Docs, Meet, etc)	Yes	Somewhat important	Somewhat important	Having a bad day (or week or month) at work;Better compensation;Trouble with leadership at my company;Growth or leadership opportunities;Looking to relocate	Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Publicly available financial information (e.g. Crunchbase);Read other media like news articles, founder profiles, etc. about the company	Every few months	No	No	Yes	Sometimes: 1-2 days per month but less than weekly	Start a free trial;Read ratings or reviews on third party sites like G2Crowd	Amused	Stack Overflow (public Q&A for anyone who codes);Stack Overflow Jobs (for job seekers);Stack Overflow for Teams (private Q&A for organizations)	Visit Stack Overflow;Watch help / tutorial videos;Visit another developer community (please name):	Windows	100 to 499 employees	AWS;Docker;Google Cloud Platform;Kubernetes;Linux;Microsoft Azure;Slack Apps and Integrations;Windows	Android;AWS;Docker;Google Cloud Platform;Kubernetes;Linux;Microsoft Azure;Slack Apps and Integrations;Windows			Yes	Yes, definitely	Daily or almost daily	Multiple times per day	Easy	Appropriate in length	No		Express;Laravel;React.js;Symfony	Angular;Angular.js;Express;jQuery;Laravel;React.js;Vue.js	Just as welcome now as I felt last year	60.0	14.0	10
6256	6282	I am a developer by profession	Yes	24.0	15	Monthly			Nepal	Nepalese rupee	NPR			Developer, mobile	Bachelor’s degree (B.A., B.S., B.Eng., etc.)	Employed full-time		Man	Diversity of the company or organization;Office environment or company culture	Slightly satisfied	I’m not actively looking, but I am open to new opportunities		Java;Kotlin					Not sure	Neutral	Very important	Curious about other opportunities;Wanting to work with new technologies	Personal network - friends or family;Directly asking current or past employees at the company		Not sure	Onboarding? What onboarding?	No	Rarely: 1-2 days per year or less		Amused	Stack Overflow (public Q&A for anyone who codes)	Visit Stack Overflow;Visit another developer community (please name):	Windows	10 to 19 employees	Android;Windows	Android;Windows	I have little or no influence	Straight / Heterosexual	Yes	Neutral	Less than once per month or monthly	Multiple times per day	Neither easy nor difficult	Appropriate in length	No	Computer science, computer engineering, or software engineering			A lot more welcome now than last year	49.0	0.5	Less than 1 year
6316	6342	I am a developer by profession	Yes	23.0	15				Nepal	Nepalese rupee	NPR	Firebase;SQLite	Firebase;MongoDB;MySQL;PostgreSQL;SQLite	Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Developer, full-stack;Developer, mobile	Bachelor’s degree (B.A., B.S., B.Eng., etc.)	Employed full-time	South Asian	Man	Languages, frameworks, and other technologies I’d be working with;Office environment or company culture;Opportunities for professional development	Neither satisfied nor dissatisfied	I’m not actively looking, but I am open to new opportunities	Dart;Go;JavaScript;Kotlin;Python;Rust;TypeScript	Bash/Shell/PowerShell;C;C++;Dart;HTML/CSS;Java;JavaScript;Kotlin;Python;Rust;SQL;TypeScript	Apache Spark;Flutter;Keras;Pandas;TensorFlow	Flutter;Pandas;TensorFlow	Github;Gitlab	Github;Gitlab;Slack;Trello	Yes	Extremely important	Somewhat important	Wanting to share accomplishments with a wider network;Curious about other opportunities;Better compensation;Wanting to work with new technologies;Growth or leadership opportunities	Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family	Every few months	Yes	Yes	No	Never		Indifferent	Stack Overflow (public Q&A for anyone who codes)	Visit Stack Overflow;Do other work and come back later;Visit another developer community (please name):	Linux-based	10 to 19 employees	Android;AWS;Docker;Kubernetes;Linux	Android;Docker;Heroku;Kubernetes;Linux;Windows	I have little or no influence	Straight / Heterosexual	Yes	Yes, somewhat	Less than once per month or monthly	Multiple times per day	Easy	Appropriate in length	No	Computer science, computer engineering, or software engineering	Angular;Flask;Spring	Angular;Flask;jQuery;Spring	Just as welcome now as I felt last year	8.0	7.0	3
6483	6511	I am a developer by profession	Yes	44.0	18	Yearly	3600000.0	31519.0	Nepal	Nepalese rupee	NPR	Cassandra;Elasticsearch;PostgreSQL;Redis;SQLite	Cassandra;Elasticsearch;MySQL;Oracle;PostgreSQL	Developer, back-end;Developer, full-stack;DevOps specialist	Bachelor’s degree (B.A., B.S., B.Eng., etc.)	Independent contractor, freelancer, or self-employed	South Asian	Man	Languages, frameworks, and other technologies I’d be working with;Remote work options;How widely used or impactful my work output would be	Slightly satisfied	I’m not actively looking, but I am open to new opportunities	Go;HTML/CSS;Java;JavaScript;Julia;Python;Rust;SQL	C;HTML/CSS;Java;JavaScript;Python;SQL	Ansible;Teraform	Chef	Github;Slack;Google Suite (Docs, Meet, etc)	Confluence;Jira;Github;Gitlab;Slack;Trello;Google Suite (Docs, Meet, etc)	No	Extremely important	Somewhat important	Having a bad day (or week or month) at work;Curious about other opportunities;Better compensation;Wanting to work with new technologies	Personal network - friends or family	Once a year	Yes	No	No	Often: 1-2 days per week or more	Start a free trial;Visit developer communities like Stack Overflow	Indifferent	Stack Overflow (public Q&A for anyone who codes)	Play games;Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos;Do other work and come back later	Linux-based	10 to 19 employees	AWS;Docker;Kubernetes;Microsoft Azure;Slack Apps and Integrations	Android;AWS;Docker;Google Cloud Platform		Straight / Heterosexual	Yes	Yes, definitely	Less than once per month or monthly	Multiple times per day	Easy	Appropriate in length	No	Computer science, computer engineering, or software engineering	Flask;Gatsby;React.js	Flask;React.js	Just as welcome now as I felt last year	40.0	25.0	20
6615	6643	I am a developer by profession	Yes	24.0	18	Monthly	100000.0	10512.0	Nepal	Nepalese rupee	NPR	DynamoDB;Microsoft SQL Server;MongoDB;Oracle;PostgreSQL	Microsoft SQL Server;PostgreSQL	Developer, back-end;Developer, full-stack	Bachelor’s degree (B.A., B.S., B.Eng., etc.)	Independent contractor, freelancer, or self-employed	South Asian	Man	Languages, frameworks, and other technologies I’d be working with;Remote work options;Opportunities for professional development	Slightly satisfied	I’m not actively looking, but I am open to new opportunities	C#;Go;Rust;SQL	C#;HTML/CSS;SQL	.NET Core;Xamarin	.NET Core	Github;Gitlab;Slack;Microsoft Teams	Github;Gitlab;Slack;Microsoft Teams	No	Somewhat important	Somewhat important	Wanting to work with new technologies;Growth or leadership opportunities	Read company media, such as employee blogs or company culture videos	Once every few years		Onboarding? What onboarding?	Yes	Sometimes: 1-2 days per month but less than weekly	Ask developers I know/work with;Visit developer communities like Stack Overflow;Research companies that have advertised on sites I visit	Amused	Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics)	Call a coworker or friend;Visit Stack Overflow;Watch help / tutorial videos	Windows	Just me - I am a freelancer, sole proprietor, etc.	AWS;Google Cloud Platform;Linux;Microsoft Azure;Raspberry Pi	Docker;Linux;Microsoft Azure;Windows		Straight / Heterosexual	Yes	Yes, definitely	A few times per month or weekly	Multiple times per day	Neither easy nor difficult	Appropriate in length	No	Computer science, computer engineering, or software engineering	ASP.NET Core	Angular;ASP.NET Core	Just as welcome now as I felt last year	8.0	7.0	3
6716	6745	I am a developer by profession	No	25.0	15				Nepal	Nepalese rupee	NPR		Microsoft SQL Server;MySQL;Oracle;PostgreSQL;SQLite	Developer, back-end;Developer, embedded applications or devices;Developer, front-end;Developer, full-stack;Developer, mobile;Developer, QA or test	Bachelor’s degree (B.A., B.S., B.Eng., etc.)	Employed full-time		Woman	Languages, frameworks, and other technologies I’d be working with;Office environment or company culture;Opportunities for professional development	Slightly dissatisfied	I’m not actively looking, but I am open to new opportunities	C++;Java;Kotlin;Python;Swift	C#;HTML/CSS;Java;JavaScript;PHP;SQL;Swift	Hadoop	.NET;.NET Core		Github;Slack;Microsoft Azure;Trello;Google Suite (Docs, Meet, etc)	No	Neutral	Fairly important	Curious about other opportunities;Wanting to work with new technologies;Growth or leadership opportunities	Read company media, such as employee blogs or company culture videos;Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company	Once every few years	Not sure	No	No	Sometimes: 1-2 days per month but less than weekly	Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2Crowd;Research companies that have advertised on sites I visit	Annoyed	Stack Overflow (public Q&A for anyone who codes)	Call a coworker or friend;Visit Stack Overflow;Watch help / tutorial videos;Do other work and come back later	Windows	20 to 99 employees		Android;iOS;Windows	I have some influence	Straight / Heterosexual	No	No, not really		Multiple times per day	Neither easy nor difficult	Appropriate in length	No	Computer science, computer engineering, or software engineering		ASP.NET;ASP.NET Core;jQuery;Laravel	Just as welcome now as I felt last year		8.0	3
7074	7103	I am a developer by profession	Yes	23.0	16	Monthly			Nepal	Indian rupee	INR	Elasticsearch;Firebase;MongoDB;Redis	MongoDB;MySQL;SQLite	Developer, back-end;Developer, front-end;Developer, full-stack	Bachelor’s degree (B.A., B.S., B.Eng., etc.)	Employed full-time	East Asian	Man	Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with;Opportunities for professional development	Very satisfied	I’m not actively looking, but I am open to new opportunities	HTML/CSS;Java;JavaScript;Python	HTML/CSS;Java;JavaScript;Python	Keras;Node.js;Pandas;TensorFlow	Keras;Node.js;Pandas	Jira;Gitlab;Slack;Trello;Google Suite (Docs, Meet, etc)	Jira;Gitlab;Slack;Trello;Google Suite (Docs, Meet, etc)	Yes	Extremely important	Fairly important	Looking to relocate	Read company media, such as employee blogs or company culture videos;Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company	Once a year	Not sure	No	No	Occasionally: 1-2 days per quarter but less than monthly		Hello, old friend	Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics)	Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Do other work and come back later;Visit another developer community (please name):	Linux-based	500 to 999 employees	AWS;Docker;Linux;MacOS	Android;Docker;Google Cloud Platform;Linux;MacOS	I have little or no influence	Straight / Heterosexual	Yes	No, not really	I have never participated in Q&A on Stack Overflow	Multiple times per day	Neither easy nor difficult	Appropriate in length	No	Computer science, computer engineering, or software engineering	Angular;Angular.js;Express;jQuery;Spring	Angular;Angular.js;Django;Express;Flask;jQuery;Spring	Just as welcome now as I felt last year	45.0	4.0	Less than 1 year
7170	7199	I am a developer by profession	Yes	22.0	15	Monthly	38400.0	4032.0	Nepal	Nepalese rupee	NPR	Cassandra;MariaDB;Microsoft SQL Server;MongoDB;MySQL;SQLite		Developer, desktop or enterprise applications;Developer, full-stack	Bachelor’s degree (B.A., B.S., B.Eng., etc.)	Employed part-time	South Asian	Man	Languages, frameworks, and other technologies I’d be working with;Financial performance or funding status of the company or organization;Opportunities for professional development	Neither satisfied nor dissatisfied	I’m not actively looking, but I am open to new opportunities	C#;JavaScript;SQL		.NET;.NET Core;Hadoop;TensorFlow;Unity 3D;Xamarin		Github;Slack;Microsoft Azure;Trello;Google Suite (Docs, Meet, etc);Stack Overflow for Teams		No	Somewhat important	Fairly important	Wanting to share accomplishments with a wider network;Better compensation;Trouble with leadership at my company;Better work/life balance;Wanting to work with new technologies;Growth or leadership opportunities	Company reviews from third party sites (e.g. Glassdoor, Blind)	Once a year	Not sure	Onboarding? What onboarding?	No	Never		Hello, old friend	Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics)	Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos	Windows	10 to 19 employees	Android;Windows		I have little or no influence	Straight / Heterosexual	Yes	Yes, somewhat	A few times per month or weekly	Daily or almost daily	Neither easy nor difficult	Appropriate in length	No	Computer science, computer engineering, or software engineering	ASP.NET;ASP.NET Core		Just as welcome now as I felt last year	56.0	7.0	Less than 1 year
7343	7373	I am a student who is learning to code	No	20.0	19				Nepal			MongoDB	MongoDB;Oracle		Some college/university study without earning a degree	Student	South Asian	Man	Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with;Office environment or company culture		I’m not actively looking, but I am open to new opportunities	HTML/CSS;JavaScript;SQL;TypeScript	C;C++;HTML/CSS;JavaScript;SQL	Node.js		Github;Gitlab	Github;Gitlab						Every few months	Yes		Yes		Ask developers I know/work with;Visit developer communities like Stack Overflow	Hello, old friend	Stack Overflow (public Q&A for anyone who codes)	Call a coworker or friend;Visit Stack Overflow;Watch help / tutorial videos	Linux-based		Linux;Windows	Linux;Windows		Straight / Heterosexual	Yes	Yes, somewhat	A few times per month or weekly	Daily or almost daily	Easy	Appropriate in length	No	Computer science, computer engineering, or software engineering	Express;React.js		Just as welcome now as I felt last year		2.0	
7368	7398	I am a student who is learning to code	Yes		13				Nepal						Bachelor’s degree (B.A., B.S., B.Eng., etc.)	Student		Man	Industry that I’d be working in;Languages, frameworks, and other technologies I’d be working with;Financial performance or funding status of the company or organization		I’m not actively looking, but I am open to new opportunities	C++;Java;JavaScript;Python	C;HTML/CSS	Flutter;Hadoop;Node.js;TensorFlow		Github	Github						Every few months	Not sure		No		Start a free trial;Ask developers I know/work with	Hello, old friend	Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics)	Visit Stack Overflow;Watch help / tutorial videos	Windows		Android;Google Cloud Platform;iOS;Linux;Microsoft Azure;Windows	Windows			Yes	Neutral	I have never participated in Q&A on Stack Overflow	A few times per month or weekly	Neither easy nor difficult	Appropriate in length		Information systems, information technology, or system administration	Angular.js;Django;Flask;React.js		Just as welcome now as I felt last year		5.0	
7386	7416	I am a developer by profession	Yes	24.0	17	Monthly	30000.0	3156.0	Nepal	Nepalese rupee	NPR	Elasticsearch;Firebase;MongoDB;MySQL;PostgreSQL	MySQL;PostgreSQL	Developer, back-end	Bachelor’s degree (B.A., B.S., B.Eng., etc.)	Employed full-time	South Asian	Man	Specific department or team I’d be working on;Financial performance or funding status of the company or organization;Opportunities for professional development	Neither satisfied nor dissatisfied	I’m not actively looking, but I am open to new opportunities	HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript	HTML/CSS;JavaScript;PHP;SQL	Flutter;Node.js	Node.js	Jira;Github;Gitlab;Trello;Google Suite (Docs, Meet, etc)	Github;Gitlab;Slack;Trello;Google Suite (Docs, Meet, etc)	Yes	Somewhat important	Fairly important	Curious about other opportunities;Better compensation;Better work/life balance;Growth or leadership opportunities	Read company media, such as employee blogs or company culture videos;Personal network - friends or family	Once a year	Not sure	Yes	No	Occasionally: 1-2 days per quarter but less than monthly	Start a free trial;Ask developers I know/work with	Hello, old friend	Stack Overflow (public Q&A for anyone who codes)	Call a coworker or friend;Visit Stack Overflow;Watch help / tutorial videos	Linux-based	20 to 99 employees	Docker;Heroku;Linux;Windows	Heroku;Linux;Windows	I have some influence	Straight / Heterosexual	Yes	Yes, somewhat	Less than once per month or monthly	Multiple times per day	Easy	Appropriate in length	No	Another engineering discipline (such as civil, electrical, mechanical, etc.)	Angular;Express;jQuery;Laravel;React.js;Vue.js	Angular;Express;jQuery;Laravel;Symfony	Just as welcome now as I felt last year	40.0	4.0	2
7410	7440	I am a student who is learning to code	Yes	16.0	11				Nepal							Student	South Asian	Man	Flex time or a flexible schedule		I am actively looking for a job															No		Ask developers I know/work with	Hello, old friend	Stack Overflow Jobs (for job seekers)	Play games;Panic						Queer					Easy	Too long	No	Computer science, computer engineering, or software engineering					11.0	
7436	7466	I am a developer by profession	Yes	27.0	20	Monthly	80000.0	8400.0	Nepal	Nepalese rupee	NPR	Elasticsearch	MongoDB;MySQL;Redis;SQLite	Developer, desktop or enterprise applications;Developer, full-stack;Developer, mobile	Bachelor’s degree (B.A., B.S., B.Eng., etc.)	Employed full-time	Southeast Asian	Man	Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with;Financial performance or funding status of the company or organization	Slightly satisfied	I am actively looking for a job	Go	HTML/CSS;JavaScript;PHP;TypeScript	TensorFlow	React Native		Github;Gitlab;Slack;Trello	No	Extremely important	Fairly important	Wanting to share accomplishments with a wider network;Trouble with leadership at my company;Better work/life balance;Wanting to work with new technologies	Read other media like news articles, founder profiles, etc. about the company	Every few months		No	Yes	Often: 1-2 days per week or more	Start a free trial;Ask developers I know/work with	Hello, old friend	Stack Overflow (public Q&A for anyone who codes)		MacOS	20 to 99 employees	AWS	Android;Heroku;Linux	I have some influence	Straight / Heterosexual	Yes	Yes, somewhat	A few times per week	Multiple times per day	Easy	Appropriate in length	No	Computer science, computer engineering, or software engineering		Angular.js;Express;Laravel;React.js		63.0	8.0	6
7449	7479	I am a student who is learning to code	Yes	20.0	16				Nepal			MongoDB;MySQL;PostgreSQL			Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)	Student	South Asian	Man	Languages, frameworks, and other technologies I’d be working with;Financial performance or funding status of the company or organization;Opportunities for professional development		I’m not actively looking, but I am open to new opportunities	Assembly;Bash/Shell/PowerShell;C;C++;Go;HTML/CSS;Java;JavaScript;Objective-C;PHP;Python;SQL	Assembly;Bash/Shell/PowerShell;C;C++;HTML/CSS;JavaScript;Python	Node.js;Torch/PyTorch		Github;Stack Overflow for Teams	Github									No		Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2Crowd	Annoyed	Stack Overflow (public Q&A for anyone who codes)	Visit Stack Overflow;Panic;Do other work and come back later	Linux-based		Arduino;AWS;Google Cloud Platform;iOS;Linux;MacOS;Raspberry Pi;Windows	Linux;Windows		Straight / Heterosexual	Yes	Yes, somewhat	I have never participated in Q&A on Stack Overflow	Daily or almost daily	Neither easy nor difficult	Appropriate in length	No		Django;Ruby on Rails	Django	Just as welcome now as I felt last year		3.0	
